id,name,country,region,identifiers,location,timezone,inventory
09161,Boltenhagen / Ostseebad,DE,MV,"{'national': None, 'wmo': '09161', 'icao': None}","(54.0, 11.2, 15)",Europe/Berlin,"{'model': {'start': None, 'end': None}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': None, 'end': None}, 'monthly': {'start': None, 'end': None}, 'normals': {'start': None, 'end': None}}"
09177,Guestrow / Gustrow / Glasewitzerburg,DE,MV,"{'national': None, 'wmo': '09177', 'icao': 'EDCU'}","(53.8083, 12.2333, 14)",Europe/Berlin,"{'model': {'start': None, 'end': None}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': None, 'end': None}, 'monthly': {'start': None, 'end': None}, 'normals': {'start': None, 'end': None}}"
09185,Wieck,DE,MV,"{'national': None, 'wmo': '09185', 'icao': None}","(54.1, 13.45, 2)",Europe/Berlin,"{'model': {'start': None, 'end': None}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': None, 'end': None}, 'monthly': {'start': None, 'end': None}, 'normals': {'start': None, 'end': None}}"
09480,Kreischa,DE,SN,"{'national': None, 'wmo': '09480', 'icao': None}","(51.3, 13.1, 150)",Europe/Berlin,"{'model': {'start': None, 'end': None}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': None, 'end': None}, 'monthly': {'start': None, 'end': None}, 'normals': {'start': None, 'end': None}}"
09499,Bautzen Litt  / Litten,DE,SN,"{'national': None, 'wmo': '09499', 'icao': 'EDAB'}","(51.1939, 14.5214, 169)",Europe/Berlin,"{'model': {'start': None, 'end': None}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': None, 'end': None}, 'monthly': {'start': None, 'end': None}, 'normals': {'start': None, 'end': None}}"
09557,Neuhaus / Igelshieb,DE,TH,"{'national': None, 'wmo': '09557', 'icao': None}","(50.5, 11.15, 850)",Europe/Berlin,"{'model': {'start': None, 'end': None}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': None, 'end': None}, 'monthly': {'start': None, 'end': None}, 'normals': {'start': None, 'end': None}}"
09569,Plauen,DE,SN,"{'national': None, 'wmo': '09569', 'icao': None}","(50.5, 12.15, 408)",Europe/Berlin,"{'model': {'start': None, 'end': None}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': None, 'end': None}, 'monthly': {'start': None, 'end': None}, 'normals': {'start': None, 'end': None}}"
10001,Forschungs,DE,RP,"{'national': None, 'wmo': '10001', 'icao': None}","(54.7, 7.1667, 26)",Europe/Berlin,"{'model': {'start': None, 'end': None}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': None, 'end': None}, 'monthly': {'start': None, 'end': None}, 'normals': {'start': None, 'end': None}}"
10004,UFS TW Ems,DE,HH,"{'national': '01228', 'wmo': '10004', 'icao': None}","(54.1667, 6.35, 0)",Europe/Berlin,"{'model': {'start': '2018-01-28', 'end': '2021-08-25'}, 'hourly': {'start': '2018-01-27', 'end': '2021-08-15'}, 'daily': {'start': '2000-07-01', 'end': '2021-08-13'}, 'monthly': {'start': 2001, 'end': 2021}, 'normals': {'start': None, 'end': None}}"
10005,UFS Elbe,DE,NI,"{'national': None, 'wmo': '10005', 'icao': None}","(54.0, 8.1167, 0)",Europe/Berlin,"{'model': {'start': None, 'end': None}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': None, 'end': None}, 'monthly': {'start': None, 'end': None}, 'normals': {'start': None, 'end': None}}"
10006,Nordseeboje 3,DE,SH,"{'national': None, 'wmo': '10006', 'icao': None}","(54.6, 11.15, 4)",Europe/Berlin,"{'model': {'start': None, 'end': None}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': None, 'end': None}, 'monthly': {'start': None, 'end': None}, 'normals': {'start': None, 'end': None}}"
10007,UFS Deutsche Bucht.,DE,HH,"{'national': '00954', 'wmo': '10007', 'icao': None}","(54.1833, 7.4333, 0)",Europe/Berlin,"{'model': {'start': '2018-01-28', 'end': '2021-08-25'}, 'hourly': {'start': '2018-01-27', 'end': '2021-08-15'}, 'daily': {'start': '1998-01-01', 'end': '2021-08-13'}, 'monthly': {'start': 1998, 'end': 2021}, 'normals': {'start': None, 'end': None}}"
10008,Nordseeboje 2,DE,HH,"{'national': '13904', 'wmo': '10008', 'icao': None}","(55.0, 6.3333, 3)",Europe/Berlin,"{'model': {'start': None, 'end': None}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': '2008-09-28', 'end': '2008-12-30'}, 'monthly': {'start': 2008, 'end': 2008}, 'normals': {'start': None, 'end': None}}"
10015,Helgoland,DE,SH,"{'national': '02115', 'wmo': '10015', 'icao': 'EDXH'}","(54.1833, 7.9, 4)",Europe/Berlin,"{'model': {'start': '2018-01-28', 'end': '2021-08-25'}, 'hourly': {'start': '1951-01-01', 'end': '2021-08-15'}, 'daily': {'start': '1952-05-01', 'end': '2021-08-13'}, 'monthly': {'start': 1952, 'end': 2021}, 'normals': {'start': 1961, 'end': 2020}}"
10018,Westerland / Sylt,DE,SH,"{'national': None, 'wmo': '10018', 'icao': 'EDXW'}","(54.9167, 8.35, 16)",Europe/Berlin,"{'model': {'start': '2018-01-28', 'end': '2021-08-25'}, 'hourly': {'start': '1989-03-18', 'end': '2021-08-15'}, 'daily': {'start': '2009-02-24', 'end': '2021-08-13'}, 'monthly': {'start': 2020, 'end': 2021}, 'normals': {'start': 1961, 'end': 1990}}"
10020,List / Sylt,DE,SH,"{'national': '03032', 'wmo': '10020', 'icao': None}","(55.0167, 8.4167, 26)",Europe/Berlin,"{'model': {'start': '2018-01-28', 'end': '2021-08-25'}, 'hourly': {'start': '1949-01-01', 'end': '2021-08-15'}, 'daily': {'start': '1931-01-01', 'end': '2021-08-13'}, 'monthly': {'start': 1931, 'end': 2021}, 'normals': {'start': 1961, 'end': 2020}}"
10022,Leck,DE,SH,"{'national': '02907', 'wmo': '10022', 'icao': 'EDNL'}","(54.8, 8.95, 7)",Europe/Berlin,"{'model': {'start': '2018-01-28', 'end': '2021-08-25'}, 'hourly': {'start': '1974-11-01', 'end': '2021-08-15'}, 'daily': {'start': '1973-01-01', 'end': '2021-08-13'}, 'monthly': {'start': 1973, 'end': 2021}, 'normals': {'start': 1961, 'end': 2020}}"
10026,Husum,DE,SH,"{'national': '02374', 'wmo': '10026', 'icao': None}","(54.5167, 9.15, 28)",Europe/Berlin,"{'model': {'start': '2018-01-28', 'end': '2021-08-25'}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': '1891-01-01', 'end': '1974-06-30'}, 'monthly': {'start': 1891, 'end': 1974}, 'normals': {'start': 1961, 'end': 1990}}"
10027,Klint,DE,SH,"{'national': None, 'wmo': '10027', 'icao': None}","(54.3, 9.6, 2)",Europe/Berlin,"{'model': {'start': None, 'end': None}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': None, 'end': None}, 'monthly': {'start': None, 'end': None}, 'normals': {'start': None, 'end': None}}"
10028,St Peter Ording  / St. Peter-ording / Bad Sankt Peter,DE,SH,"{'national': '04393', 'wmo': '10028', 'icao': 'EDXO'}","(54.3297, 8.6028, 5)",Europe/Berlin,"{'model': {'start': '2018-01-28', 'end': '2021-08-25'}, 'hourly': {'start': '1951-01-01', 'end': '2021-08-15'}, 'daily': {'start': '1951-01-01', 'end': '2021-08-13'}, 'monthly': {'start': 1951, 'end': 2021}, 'normals': {'start': 1961, 'end': 2020}}"
10031,Flensburg-Schaeferhaus,DE,SH,"{'national': None, 'wmo': '10031', 'icao': None}","(54.7833, 9.3833, 41)",Europe/Berlin,"{'model': {'start': None, 'end': None}, 'hourly': {'start': None, 'end': None}, 'daily': {'start': None, 'end': None}, 'monthly': {'start': None, 'end': None}, 'normals': {'start': None, 'end': None}}"
